N,MC,SE,Lattice,Bias,AbsBias
2000,6.120654113455843,1.9865240156961426e-17,6.11921538726828,0.0014387261875628,0.0014387261875628
5000,6.120654113455843,3.1527857040264266e-17,6.11921538726828,0.0014387261875628,0.0014387261875628
10000,6.120376348463045,0.00027792634372452926,6.11921538726828,0.0011609611947651644,0.0011609611947651644
20000,6.1201725066552815,0.000386813139506314,6.11921538726828,0.0009571193870012706,0.0009571193870012706
50000,6.120266158441561,0.00024295388021296194,6.11921538726828,0.0010507711732810066,0.0010507711732810066
