Method,Price,SE
none,6.181657487728012,0.06597300073036566
antithetic,6.20404906992077,0.0672312942515563
stratified,6.131787608918959,0.06571472516876323
anti+strat,6.069086632111155,0.06509471196578742
+ CV(vanilla),6.1201725066552815,0.000386813139506314
