pnl,alive_final,ST
-7.109102899425125,1,5539.823316656419
-10.029973800969856,1,5576.312629563935
-22.74109272001442,1,5449.813005057487
-0.13976687153182255,1,5209.6785039623755
-14.289868930495938,1,5263.81981914163
-7.069807385926554,1,5191.73732056874
-21.302815083038695,1,5450.024648561391
-16.934844043424345,1,5206.731037647646
-16.186571968702992,1,5630.471955159428
8.783510378251776,1,5388.727289450012
-12.574212242933754,1,5618.61979980742
-13.415893246891756,1,5519.97357481129
-12.335323272776805,1,5432.243107198759
-9.098108153548745,1,5165.782278619697
-16.14142448912662,1,5606.449407748576
-5.807979406539239,0,5086.269370271143
-24.508012905720534,1,5583.435462534745
-8.880713924361475,1,5180.6283775782595
-12.926180634617594,1,5829.456850567021
-9.813598552480343,1,5245.154178620465
-4.250563814119946,1,5299.54129994378
-11.481962730240346,0,5069.601389181885
0.7415750767602898,1,5308.859508691976
-6.728705473911759,1,5472.692147324854
-20.975190283627853,1,5420.649211227227
-14.533187481999448,1,5798.378636266501
0.9859714006255658,1,5060.836712011366
-3.151767240914161,0,5082.8682465577185
-1.3055308684231246,1,5017.874942766057
-5.919363518053862,1,5073.776834196406
-8.828035644688043,1,5369.477713162152
-6.178343575354395,1,5207.642450873198
0.1737793356921764,1,5184.8420082460425
-9.61124187328187,1,5657.902075600123
-7.905045213186895,1,5539.427098069752
-9.332772767415918,1,5398.56155085135
-5.069699454351149,1,5093.660713222679
-27.819942123988312,1,5339.092671322152
-6.327251633737433,1,5614.593129048327
-0.552104436525326,1,5299.865239097502
-14.981140198990943,1,5827.670287441064
-27.2049034915504,1,5204.857795244916
-21.551810737982247,1,5199.1706408089085
-9.37387256699094,1,5504.6315695181665
-15.301816500706991,1,5422.480069793328
-2.22889362719161,1,5411.431893626726
-23.907911711427914,1,5631.852547967822
5.784437586301446,1,5295.9541766274
-2.462123092103833,1,5145.476200544997
-7.56092412511498,1,5711.734200064737
-23.807548527272047,1,5391.821863674982
-19.02635844721999,1,5310.685771683931
0.010260915594560771,1,5247.330333246382
