cost_bps,thresh,freq_k,mean,std,se,p5,p50,p95
0.0,0.01,4,-98.835817776514,16.887339546960217,0.0755224783722471,-126.94949054794122,-98.34901197817211,-71.76052972512623
1.0,0.01,4,-99.89388051810704,16.943198903651666,0.07577228900973,-128.1854278256974,-99.3320589561763,-72.883142406399
2.0,0.01,4,-100.9519432597002,17.003860119902903,0.0760435742160012,-129.4720013425906,-100.3058210737322,-74.01565744316255
5.0,0.01,4,-104.12613148447808,17.21412720086775,0.0769839171889369,-133.4926848238158,-103.29415144882478,-77.33125388849709
