T,D,K,B,sigma,S0,r,q,Vanilla,CJY_OUT,CJY_IN,CJY_time_s,LAT_OUT,LAT_IN,LAT_time_s,LAT_STEPS,MC_OUT,SE_OUT,MC_IN,MC_time_s,Z_MC_vs_CJY,ParityErr_CJY,ParityErr_LAT,BoundsOK,MC_OccTimeMean,MC_OccTimeStd,MC_OccTimeP50,MC_HitRate,MC_STEPS,MC_PATHS,CJY_Nx,CJY_M
0.08333333333333333,0.004166666666666667,5363.33,4826.997,0.1,5363.33,0.03,0.02597332698212359,62.522528972100645,31.304890264218848,31.217638707881797,2.221059208008228,62.49685734340574,0.02567162869490147,1.8607616249937564,600,62.52252897210065,4.628023796385885e-16,-7.105427357601002e-15,0.6568416669906583,,0.0,0.0,True,9.899999999999998e-07,8.394935487076119e-05,0.0,0.0001,500,50000,700,64
0.08333333333333333,0.004166666666666667,5363.33,5095.1635,0.1,5363.33,0.03,0.02597332698212359,62.522528972100645,31.42519923589804,31.097329736202603,2.212514667015057,62.495674507795734,0.02685446430491112,1.8625299579871353,600,62.52234381789452,0.00018498069114913983,0.00018515420612175149,0.6523026250069961,168110.21944406378,0.0,0.0,True,0.0009103766666666667,0.004716450266009386,0.0,0.04764,500,50000,700,64
0.08333333333333333,0.004166666666666667,5363.33,4826.997,0.15,5363.33,0.03,0.02597332698212359,93.3274363231526,46.6941687543124,46.633267568840196,4.443185333017027,93.28892993823597,0.038506384916630054,1.8795528750051744,600,93.3274363231526,1.2763215798915137e-16,0.0,0.6327303329890128,,0.0,0.0,True,0.00013077666666666665,0.0015717745405410457,0.0,0.00834,500,50000,700,64
0.08333333333333333,0.004166666666666667,5363.33,5095.1635,0.15,5363.33,0.03,0.02597332698212359,93.3274363231526,4.7507975547885033e-07,93.32743584807284,1.072764125012327,93.12272590587901,0.20471041727358852,1.8629979160032235,600,93.09480931543597,0.025846226715157638,0.23262700771662992,0.6696389999997336,3601.8723300047636,0.0,0.0,True,0.004258983333333333,0.011249440838859275,0.0,0.17212,500,50000,700,64
0.08333333333333333,0.004166666666666667,5363.33,4826.997,0.2,5363.33,0.03,0.02597332698212359,124.12822442175411,62.08730124682129,62.04092317493282,7.8054118329891935,124.07526342578653,0.05296099596758097,1.8676688340201508,600,124.12584016156258,0.002064799993616249,0.0023842601915333717,0.6472534170025028,30045.786084146697,0.0,0.0,True,0.0008332166666666665,0.004453773498396956,0.0,0.04418,500,50000,700,64
0.08333333333333333,0.004166666666666667,5363.33,5095.1635,0.2,5363.33,0.03,0.02597332698212359,124.12822442175411,2.904946275539467e-07,124.12822413125949,1.9022374589985702,122.35294171730459,1.7752827044495234,1.9006187500199303,600,122.4904246732601,0.08065781635547672,1.637799748494018,0.6981972919893451,1518.6429526299503,0.0,0.0,True,0.008196293333333333,0.01602141627040324,0.0,0.28478,500,50000,700,64
0.16666666666666666,0.008333333333333333,5363.33,4826.997,0.1,5363.33,0.03,0.017438880110360967,92.70690592610163,46.385705162504195,46.32120076359743,3.9103429169917945,92.670615448138,0.036290477963632384,1.9031217500159983,600,92.70690592610161,6.355350986140651e-17,1.4210854715202004e-14,0.6382664170232601,,0.0,0.0,True,0.00012959999999999998,0.002136084056656466,0.0,0.00444,500,50000,700,64
0.16666666666666666,0.008333333333333333,5363.33,5095.1635,0.1,5363.33,0.03,0.017438880110360967,92.70690592610163,3.4798835592399865e-07,92.70690557811326,0.9505835000018124,92.550153483465,0.15675244263663046,1.901542082981905,600,92.60287871088103,0.014491144630079788,0.10402721522059721,0.6498094999988098,6390.308062392363,0.0,0.0,True,0.006690153333333333,0.019924332281050592,0.0,0.13878,500,50000,700,64
0.16666666666666666,0.008333333333333333,5363.33,4826.997,0.15,5363.33,0.03,0.017438880110360967,136.1577436234693,68.10019688884289,68.0575467346264,8.759931957989465,136.09970794533206,0.05803567813723021,1.8846280419966206,600,136.1534390325328,0.002437403667458893,0.004304590936499153,0.6532059999881312,27920.382270794962,0.0,0.0,True,0.002104733333333333,0.010258038903357622,0.0,0.05474,500,50000,700,64
0.16666666666666666,0.008333333333333333,5363.33,5095.1635,0.15,5363.33,0.03,0.017438880110360967,136.1577436234693,3.110713303390179e-07,136.15774331239797,2.1326556249987334,133.7632926984387,2.3944509250305828,1.8958245829853695,600,133.6599277625156,0.10612671362571263,2.4978158609536933,0.6940556659828871,1259.437166054493,0.0,0.0,True,0.017964866666666666,0.03369963150238592,0.0,0.30338,500,50000,700,64
0.16666666666666666,0.008333333333333333,5363.33,4826.997,0.2,5363.33,0.03,0.017438880110360967,179.61404666052204,89.76787338001397,89.84617328050807,15.628241667000111,179.3636872126316,0.25035944789044606,1.8924769159930293,600,179.34703570613337,0.0404469435388332,0.26701095438866673,0.6632403330004308,2214.7325480877003,0.0,0.0,True,0.006628879999999999,0.019592746637297924,0.0,0.14092,500,50000,700,64
0.16666666666666666,0.008333333333333333,5363.33,5095.1635,0.2,5363.33,0.03,0.017438880110360967,179.61404666052204,86.77620592900982,92.83784073151222,15.993974165990949,170.5237249169574,9.09032174356463,1.8863381250121165,600,170.23756158682642,0.24305149641341864,9.37648507369562,0.7217084589938167,343.3895980457283,0.0,0.0,True,0.028003073333333333,0.04188325426740042,0.0006666666666666666,0.42044,500,50000,700,64
