T,D,K,B,sigma,S0,r,q,moneyness,barrier_rel,D_over_T,Vanilla,LAT_OUT,LAT_IN,MC_OUT,SE_OUT,MC_IN,LAT_STEPS,MC_STEPS,MC_PATHS
0.08333333333333333,0.0008333333333333333,4290.664,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.7999999999999999,0.6,0.01,1071.78318990991,1071.783189909513,3.969944373238832e-10,1071.7831899099106,4.547530357613074e-15,-4.547473508864641e-13,800,600,10000
0.08333333333333333,0.0016666666666666666,4290.664,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.7999999999999999,0.6,0.02,1071.78318990991,1071.783189909513,3.969944373238832e-10,1071.7831899099106,4.547530357613074e-15,-4.547473508864641e-13,800,600,10000
0.08333333333333333,0.004166666666666667,4290.664,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.7999999999999999,0.6,0.05,1071.78318990991,1071.783189909513,3.969944373238832e-10,1071.7831899099106,4.547530357613074e-15,-4.547473508864641e-13,800,600,10000
0.08333333333333333,0.008333333333333333,4290.664,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.7999999999999999,0.6,0.1,1071.78318990991,1071.783189909513,3.969944373238832e-10,1071.7831899099106,4.547530357613074e-15,-4.547473508864641e-13,800,600,10000
0.08333333333333333,0.016666666666666666,4290.664,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.7999999999999999,0.6,0.2,1071.78318990991,1071.783189909513,3.969944373238832e-10,1071.7831899099106,4.547530357613074e-15,-4.547473508864641e-13,800,600,10000
0.08333333333333333,0.0008333333333333333,4826.997,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.9,0.6,0.01,536.7938038727616,536.7937259732888,7.789947278524778e-05,536.7938038727616,4.870235214509491e-16,0.0,800,600,10000
0.08333333333333333,0.0016666666666666666,4826.997,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.9,0.6,0.02,536.7938038727616,536.7937259732888,7.789947278524778e-05,536.7938038727616,4.870235214509491e-16,0.0,800,600,10000
0.08333333333333333,0.004166666666666667,4826.997,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.9,0.6,0.05,536.7938038727616,536.7937259732888,7.789947278524778e-05,536.7938038727616,4.870235214509491e-16,0.0,800,600,10000
0.08333333333333333,0.008333333333333333,4826.997,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.9,0.6,0.1,536.7938038727616,536.7937259732888,7.789947278524778e-05,536.7938038727616,4.870235214509491e-16,0.0,800,600,10000
0.08333333333333333,0.016666666666666666,4826.997,3217.998,0.1,5363.33,0.03,0.02597332698212359,0.9,0.6,0.2,536.7938038727616,536.7937259732888,7.789947278524778e-05,536.7938038727616,4.870235214509491e-16,0.0,800,600,10000
0.08333333333333333,0.0008333333333333333,5363.33,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.0,0.6,0.01,62.522528972100645,62.50327424362532,0.019254728475324612,62.52252897210064,7.105782655616455e-17,7.105427357601002e-15,800,600,10000
0.08333333333333333,0.0016666666666666666,5363.33,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.0,0.6,0.02,62.522528972100645,62.50327424362532,0.019254728475324612,62.52252897210064,7.105782655616455e-17,7.105427357601002e-15,800,600,10000
0.08333333333333333,0.004166666666666667,5363.33,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.0,0.6,0.05,62.522528972100645,62.50327424362532,0.019254728475324612,62.52252897210064,7.105782655616455e-17,7.105427357601002e-15,800,600,10000
0.08333333333333333,0.008333333333333333,5363.33,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.0,0.6,0.1,62.522528972100645,62.50327424362532,0.019254728475324612,62.52252897210064,7.105782655616455e-17,7.105427357601002e-15,800,600,10000
0.08333333333333333,0.016666666666666666,5363.33,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.0,0.6,0.2,62.522528972100645,62.50327424362532,0.019254728475324612,62.52252897210064,7.105782655616455e-17,7.105427357601002e-15,800,600,10000
0.08333333333333333,0.0008333333333333333,5899.6630000000005,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.1,0.6,0.01,0.02141210187584086,0.02115061517108216,0.00026148670475870106,0.021412101875840837,1.705264255878028e-17,2.42861286636753e-17,800,600,10000
0.08333333333333333,0.0016666666666666666,5899.6630000000005,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.1,0.6,0.02,0.02141210187584086,0.02115061517108216,0.00026148670475870106,0.021412101875840837,1.705264255878028e-17,2.42861286636753e-17,800,600,10000
0.08333333333333333,0.004166666666666667,5899.6630000000005,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.1,0.6,0.05,0.02141210187584086,0.02115061517108216,0.00026148670475870106,0.021412101875840837,1.705264255878028e-17,2.42861286636753e-17,800,600,10000
0.08333333333333333,0.008333333333333333,5899.6630000000005,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.1,0.6,0.1,0.02141210187584086,0.02115061517108216,0.00026148670475870106,0.021412101875840837,1.705264255878028e-17,2.42861286636753e-17,800,600,10000
0.08333333333333333,0.016666666666666666,5899.6630000000005,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.1,0.6,0.2,0.02141210187584086,0.02115061517108216,0.00026148670475870106,0.021412101875840837,1.705264255878028e-17,2.42861286636753e-17,800,600,10000
0.08333333333333333,0.0008333333333333333,6435.996,3217.998,0.1,5363.33,0.03,0.02597332698212359,1.2,0.6,0.01,3.7132297818113955e-09,3.1245068119332626e-09,5.887229698781329e-10,0.0,0.0,3.7132297818113955e-09,800,600,10000
