T,sigma,B_rel,D_frac,z,Lattice,CJY_auto,CJY_aw,CJY_steh,relerr_auto_vs_lat,aw_vs_st_rel,z_bin,D_bin
0.08333333333333333,0.15,0.7,0.02,8.237054995848874,1.809899905483137,0.45549213856833354,,,0.7483329673710637,,very_far,tiny
0.08333333333333333,0.15,0.7,0.05,8.237054995848874,1.809899905483137,0.9083223271482883,,,0.49813670667836213,,very_far,tiny
0.08333333333333333,0.15,0.7,0.1,8.237054995848874,1.809899905483137,0.9083223271482883,,,0.49813670667836213,,very_far,small
0.08333333333333333,0.15,0.7,0.15,8.237054995848874,1.809899905483137,0.9083223266991195,,,0.4981367069265354,,very_far,med
0.08333333333333333,0.15,0.7,0.2,8.237054995848874,1.809899905483137,0.9083223271482883,,,0.49813670667836213,,very_far,med
0.08333333333333333,0.15,0.8,0.02,5.153279576767524,1.809899905483137,0.7169811320754716,,,0.6038559204830283,,very_far,tiny
0.08333333333333333,0.15,0.8,0.05,5.153279576767524,1.809899905483137,1.0401825856423872e-10,,,0.9999999999425281,,very_far,tiny
0.08333333333333333,0.15,0.8,0.1,5.153279576767524,1.809899905483137,1.0401825856423872e-10,0.9086577421279816,1.0401825856423872e-10,0.9999999999425281,8735560031.15359,very_far,small
0.08333333333333333,0.15,0.8,0.15,5.153279576767524,1.809899905483137,0.90865774143295,,,0.49795138467041816,,very_far,med
0.08333333333333333,0.15,0.8,0.2,5.153279576767524,1.809899905483137,1.0401825856423872e-10,,,0.9999999999425281,,very_far,med
0.08333333333333333,0.15,0.9,0.02,2.433196883080153,1.8098997833940902,0.0,,,1.0,,very_far,tiny
0.08333333333333333,0.15,0.9,0.05,2.433196883080153,1.8098998615597035,5.1536319015918275e-09,,,0.999999997152532,,very_far,tiny
0.08333333333333333,0.15,0.9,0.1,2.433196883080153,1.8098998950366316,0.9039183763095142,,,0.5005699603672172,,very_far,small
0.08333333333333333,0.15,0.9,0.15,2.433196883080153,1.809899902850549,0.9039183798542445,,,0.5005699605648938,,very_far,med
0.08333333333333333,0.15,0.9,0.2,2.433196883080153,1.8098999048454252,0.9039183821988724,,,0.5005699598199207,,very_far,med
0.08333333333333333,0.15,0.95,0.02,1.1845678928909997,1.803787287849985,1.8104395627521583,1.8027624173664034,1.8104395627521583,0.0036879486550226745,0.004240486975485905,far,tiny
0.08333333333333333,0.15,0.95,0.05,1.1845678928909997,1.8062604189296407,6.316745156446497e-09,,,0.9999999965028602,,far,tiny
0.08333333333333333,0.15,0.95,0.1,1.1845678928909997,1.8080738942385024,7.858106624262034e-09,,,0.9999999956538798,,far,small
0.08333333333333333,0.15,0.95,0.15,1.1845678928909997,1.8089260547317592,0.9023494453948251,,,0.5011684181150058,,far,med
0.08333333333333333,0.15,0.95,0.2,1.1845678928909997,1.8093757518854146,0.9024112017222258,,,0.5012582650221267,,far,med
0.08333333333333333,0.2,0.7,0.02,6.177791246886655,2.384560022160303,1.6981132075471697,,,0.28787147659686235,,very_far,tiny
0.08333333333333333,0.2,0.7,0.05,6.177791246886655,2.384560022160303,1.1950088274243262,,,0.4988556310938642,,very_far,tiny
0.08333333333333333,0.2,0.7,0.1,6.177791246886655,2.384560022160303,1.1950088274243262,,,0.4988556310938642,,very_far,small
0.08333333333333333,0.2,0.7,0.15,6.177791246886655,2.384560022160303,1.195008827326612,1.195008827326612,1.195008827326612,0.4988556311348421,0.0,very_far,med
0.08333333333333333,0.2,0.7,0.2,6.177791246886655,2.384560022160303,1.1950088274243262,,,0.4988556310938642,,very_far,med
0.08333333333333333,0.2,0.8,0.02,3.8649596825756425,2.384560022160303,1.082053560506506,,,0.5462250685867766,,very_far,tiny
0.08333333333333333,0.2,0.8,0.05,3.8649596825756425,2.384560022160303,1.19526110687254,,,0.49874983403030976,,very_far,tiny
0.08333333333333333,0.2,0.8,0.1,3.8649596825756425,2.384560022160303,1.1952611070711205,,,0.49874983394703215,,very_far,small
0.08333333333333333,0.2,0.8,0.15,3.8649596825756425,2.384560022160303,1.1952611059048563,,,0.49874983443612203,,very_far,med
0.08333333333333333,0.2,0.8,0.2,3.8649596825756425,2.384560022160303,2.4586133842456425e-10,,,0.9999999998968944,,very_far,med
0.08333333333333333,0.2,0.9,0.02,1.8248976623101147,2.3844960944622793,2.3852792888511374,,,0.0003284527874367164,,very_far,tiny
0.08333333333333333,0.2,0.9,0.05,1.8248976623101147,2.3845300025926033,2.5531754374858594e-09,2.3833385532750535,2.5531754374858594e-09,0.9999999989292752,933480134.4747301,very_far,tiny
0.08333333333333333,0.2,0.9,0.1,1.8248976623101147,2.3845493498706625,1.0969198175865173e-09,,,0.9999999995399886,,very_far,small
0.08333333333333333,0.2,0.9,0.15,1.8248976623101147,2.3845559719197493,8.195377947485476e-09,,,0.9999999965631429,,very_far,med
0.08333333333333333,0.2,0.9,0.2,1.8248976623101147,2.3845584982402634,1.1916756747276163,,,0.5002531178802956,,very_far,med
0.08333333333333333,0.2,0.95,0.02,0.8884259196682498,2.340713976913168,2.3852792888511374,,,0.019039195893869952,,mid,tiny
0.08333333333333333,0.2,0.95,0.05,0.8884259196682498,2.3559595321135642,2.683671070957359e-08,,,0.9999999886090104,,mid,tiny
0.08333333333333333,0.2,0.95,0.1,0.8884259196682498,2.3682470711637094,8.207986221250838e-09,,,0.9999999965341512,,mid,small
0.08333333333333333,0.2,0.95,0.15,0.8884259196682498,2.374718741268069,5.4593825404018625e-09,,,0.9999999977010403,,mid,med
