cost_bps,thresh,freq_k,mean,std,se,p5,p50,p95,steps,paths,rebal_ops
0.0,0.0,1,-98.93538627270406,9.139751138981024,0.0408742096883854,-113.70359457886268,-98.70822018221867,-84.45742284111549,86,50000,85
0.0,0.0,2,-98.91338617774846,12.55013184995011,0.056125895886147276,-119.59786821702838,-98.51809520955956,-78.85198931977449,86,50000,42
0.0,0.0,4,-98.83820651363473,16.879349647881032,0.07548674645729825,-126.9709034847394,-98.37232129274021,-71.72855067610804,86,50000,21
0.0,0.0025,1,-98.93634047776914,9.14057505475482,0.04087789435174128,-113.7220706340815,-98.71379111749204,-84.4726170816454,86,50000,85
0.0,0.0025,2,-98.91320082664527,12.551208226970054,0.0561307095905193,-119.6147322366406,-98.50413420573616,-78.86725836464848,86,50000,42
0.0,0.0025,4,-98.83841817181224,16.87921302727185,0.07548613547135974,-126.96584833552399,-98.36456560847097,-71.72412889037861,86,50000,21
0.0,0.005,1,-98.93849025628228,9.143802332296348,0.04089232717567151,-113.7776924907142,-98.73855956987637,-84.45228504266292,86,50000,85
0.0,0.005,2,-98.91568893050082,12.553642369866594,0.056141595408486525,-119.63011181078905,-98.5105629693156,-78.85984028737398,86,50000,42
0.0,0.005,4,-98.83827547040418,16.88119063500474,0.07549497960200688,-126.97315141425102,-98.36259243223367,-71.73252466488826,86,50000,21
0.0,0.01,1,-98.94658083971541,9.165994187362053,0.040991572168618984,-113.8556060208513,-98.71554052786502,-84.39130546566373,86,50000,85
0.0,0.01,2,-98.9229382540814,12.566121966303253,0.056197405860414794,-119.64672283657296,-98.5285459694039,-78.86265111780679,86,50000,42
0.0,0.01,4,-98.835817776514,16.887339546960217,0.0755224783722471,-126.94949054794122,-98.34901197817211,-71.76052972512623,86,50000,21
1.0,0.0,1,-100.78448933563956,9.208240423148673,0.041180503078643724,-115.99219844582102,-100.48017290147443,-86.46784043018542,86,50000,85
1.0,0.0,2,-100.29256538189487,12.611524295043752,0.05640045124721589,-121.25902076158297,-99.79387043710949,-80.39083833651921,86,50000,42
1.0,0.0,4,-99.90237278140212,16.935264912197322,0.07573680712128045,-128.21970894690938,-99.33823452023944,-72.86409091870587,86,50000,21
1.0,0.0025,1,-100.78163851259634,9.208826953492466,0.04118312612208289,-115.99401409911006,-100.46980050206903,-86.47021447907518,86,50000,85
1.0,0.0025,2,-100.29086109037522,12.612493820460589,0.05640478709669181,-121.26100862318216,-99.78484645866229,-80.41054925790426,86,50000,42
1.0,0.0025,4,-99.9019819010143,16.935040578941347,0.0757358038724605,-128.2206734241842,-99.34726535188834,-72.87950863423605,86,50000,21
1.0,0.005,1,-100.77531594993965,9.211992094361992,0.04119728106236815,-115.99162870917107,-100.46484357141757,-86.45421794561005,86,50000,85
1.0,0.005,2,-100.2900778018349,12.614846675324149,0.05641530938352403,-121.25617699903255,-99.78092674331916,-80.41926773691043,86,50000,42
1.0,0.005,4,-99.9005591310376,16.936969473289157,0.07574443015022672,-128.19310022622466,-99.34788860867548,-72.87208908052352,86,50000,21
1.0,0.01,1,-100.75599474184297,9.234243279272768,0.04129679138644897,-116.06933351661264,-100.42515788228349,-86.38480779153986,86,50000,85
1.0,0.01,2,-100.2866551975578,12.627317794808205,0.056471081925367775,-121.29049922014515,-99.80083946325419,-80.39293483938806,86,50000,42
1.0,0.01,4,-99.89388051810705,16.943198903651666,0.07577228900973007,-128.1854278256974,-99.3320589561763,-72.883142406399,86,50000,21
2.0,0.0,1,-102.63359239857554,9.312835886322471,0.0416482682102331,-118.27970607210831,-102.25714868753414,-88.40251695600926,86,50000,85
2.0,0.0,2,-101.67174458604177,12.685332722742217,0.05673053257050818,-122.91659972735052,-101.10998665049533,-81.93600350370895,86,50000,42
2.0,0.0,4,-100.96653904916946,16.995919589141227,0.07600806308288016,-129.4979459606636,-100.3381223829524,-74.01826513968868,86,50000,21
2.0,0.0025,1,-102.626936547424,9.31336978289108,0.04165065586827382,-118.27120390364371,-102.25099624117794,-88.38720871412461,86,50000,85
2.0,0.0025,2,-101.66852135410562,12.686238670060817,0.05673458409008503,-122.93189855972535,-101.10163821146597,-81.9234185169155,86,50000,42
2.0,0.0025,4,-100.96554563021637,16.99561852394783,0.07600671667840397,-129.50613585087058,-100.33934328934791,-74.02982122942932,86,50000,21
2.0,0.005,1,-102.61214164359748,9.316701901245603,0.0416655575545734,-118.30937160381896,-102.2307797744657,-88.3651007829862,86,50000,85
2.0,0.005,2,-101.66446667316941,12.688570200680692,0.05674501101200035,-122.90840774621779,-101.09739998995462,-81.89615100565076,86,50000,42
2.0,0.005,4,-100.96284279167102,16.997513923981668,0.0760151931650444,-129.48987754798577,-100.33492145486306,-74.00796852455362,86,50000,21
2.0,0.01,1,-102.56540864397097,9.33929754825536,0.04176660835999221,-118.30513294074726,-102.17143956634345,-88.30322540667875,86,50000,85
2.0,0.01,2,-101.65037214103461,12.701146012366745,0.05680125175160486,-122.89446197616364,-101.09101805648217,-81.83917329183392,86,50000,42
2.0,0.01,4,-100.9519432597002,17.003860119902903,0.07604357421600123,-129.4720013425906,-100.3058210737322,-74.01565744316255,86,50000,21
5.0,0.0,1,-108.1809015873821,9.82975342483973,0.04395999372000601,-125.42975528152914,-107.52800758618831,-93.8084251042348,86,50000,85
5.0,0.0,2,-105.80928219848053,12.978957735748786,0.05804366354846208,-128.14455429098098,-104.98855892439008,-86.22230210513659,86,50000,42
5.0,0.0,4,-104.15903785247016,17.205799293364368,0.07694667365436114,-133.52578134474314,-103.32320128660672,-77.38605433323491,86,50000,21
5.0,0.0025,1,-108.16283065190568,9.831166422545344,0.04396631283784962,-125.40266306686375,-107.50053107592765,-93.78960762082149,86,50000,85
5.0,0.0025,2,-105.80150214529498,12.979925967072573,0.05804799361057794,-128.12315695544618,-104.96837419866016,-86.23077794122996,86,50000,42
5.0,0.0025,4,-104.15623681782115,17.205333285928184,0.07694458960575049,-133.53383272582704,-103.3238198609265,-77.37011774436948,86,50000,21
5.0,0.005,1,-108.1226187245696,9.836264256340757,0.0439891110436587,-125.37127145978562,-107.45881065062389,-93.73327867878827,86,50000,85
5.0,0.005,2,-105.78763328717118,12.982542441680419,0.05805969484074703,-128.14024569346049,-104.95639207070047,-86.20436716238558,86,50000,42
5.0,0.005,4,-104.14969377356991,17.20721811928926,0.07695301883679373,-133.50954781326402,-103.32674261093803,-77.35517512886108,86,50000,21
5.0,0.01,1,-107.99365035035359,9.86147805823756,0.04410187059368363,-125.26141069383227,-107.32174226731013,-93.55692126695625,86,50000,85
5.0,0.01,2,-105.74152297146324,12.99608816299942,0.05812027314809414,-128.09711911449085,-104.92427794140974,-86.14901299798883,86,50000,42
5.0,0.01,4,-104.12613148447807,17.21412720086775,0.07698391718893693,-133.4926848238158,-103.29415144882478,-77.33125388849709,86,50000,21
