D_frac,Lattice_cum,ML_cum
0.0,344.85134730031984,344.85134730031984
0.015,367.37490776213826,373.02660696604596
0.03,376.5893242009116,377.6002098204819
0.045,382.969560529552,384.13907070988006
0.06,387.88584044166845,391.4404248130529
0.075,391.87458551715514,396.30665502953485
0.09,395.2117550103846,396.30665502953485
0.105,398.06133838509356,400.0203079587554
0.12,400.53007980147515,400.0203079587554
0.135,402.6919977273192,400.0203079587554
0.15,404.6008695091308,407.17547628253135
0.16499999999999998,406.1637736343017,407.17547628253135
0.18,407.8123594758979,407.17547628253135
0.195,409.1712540319418,407.17547628253135
0.21,410.39400726397827,410.39400726397827
0.22499999999999998,411.4098196346624,411.4098196346624
0.24,412.49451058099487,412.49451058099487
0.255,413.3976831425412,413.3976831425412
0.27,414.2165997480836,414.2165997480836
0.285,414.9008077368093,414.9008077368093
0.3,415.63468476577543,415.63468476577543
