B_rel,Lattice,ML,ML_mono
0.6,6.1194827780165415,6.119179822364386,6.119603814256448
0.6246666666666666,6.1194827780164625,6.119179822364386,6.119603814256448
0.6493333333333333,6.1194827780091625,6.1204517980405715,6.119603814256448
0.6739999999999999,6.119482777706286,6.119473121520522,6.119473121520522
0.6986666666666667,6.11948276826814,6.119473121520522,6.119473121520522
0.7233333333333333,6.1194826139536795,6.117419254236486,6.1177790238856815
0.748,6.119480570509545,6.117419254236486,6.1177790238856815
0.7726666666666666,6.119458949158338,6.118293295671238,6.1177790238856815
0.7973333333333333,6.119275634516136,6.117644499408245,6.1177790238856815
0.822,6.118328318705458,6.117948919880814,6.1177790238856815
0.8466666666666667,6.112713546771944,6.117948919880814,6.1177790238856815
0.8713333333333333,6.092529369526474,5.973868475999266,5.988972106476266
0.8959999999999999,6.027114534626007,6.004075736953268,5.988972106476266
0.9206666666666666,5.882917389806889,5.985909724854154,5.985909724854154
0.9453333333333334,5.496408221465327,5.377818305612854,5.377818305612854
0.97,4.832639822044217,4.712107820744214,4.712107820744214
