steps,within,bridge,MC,SE,Bias,AbsBias
52,grid,False,6.119299564891845,0.0008989669507082382,-0.00023854685060786807,0.00023854685060786807
52,grid,True,6.119299564891845,0.0008989669507082382,-0.00023854685060786807,0.00023854685060786807
52,loglinear,False,6.119299564891845,0.0008989669507082382,-0.00023854685060786807,0.00023854685060786807
52,loglinear,True,6.119946971866493,0.0006268720413617931,0.0004088601240397338,0.0004088601240397338
104,grid,False,6.120640872900901,1.3240675287371311e-05,0.0011027611584477626,0.0011027611584477626
104,grid,True,6.120640872900901,1.3240675287371311e-05,0.0011027611584477626,0.0011027611584477626
104,loglinear,False,6.120640872900901,1.3240675287371311e-05,0.0011027611584477626,0.0011027611584477626
104,loglinear,True,6.120640872900901,1.3240675287371311e-05,0.0011027611584477626,0.0011027611584477626
250,grid,False,6.1201725066552815,0.000386813139506314,0.0006343949128284621,0.0006343949128284621
250,grid,True,6.1201725066552815,0.000386813139506314,0.0006343949128284621,0.0006343949128284621
250,loglinear,False,6.1201725066552815,0.000386813139506314,0.0006343949128284621,0.0006343949128284621
250,loglinear,True,6.1201725066552815,0.000386813139506314,0.0006343949128284621,0.0006343949128284621
500,grid,False,6.120014325323004,0.0005936315193340769,0.00047621358055138785,0.00047621358055138785
500,grid,True,6.120014325323004,0.0005936315193340769,0.00047621358055138785,0.00047621358055138785
500,loglinear,False,6.120014325323004,0.0005936315193340769,0.00047621358055138785,0.00047621358055138785
500,loglinear,True,6.120014325323004,0.0005936315193340769,0.00047621358055138785,0.00047621358055138785
1000,grid,False,6.120654113455842,0.0,0.0011160017133891031,0.0011160017133891031
1000,grid,True,6.120654113455842,0.0,0.0011160017133891031,0.0011160017133891031
1000,loglinear,False,6.120654113455842,0.0,0.0011160017133891031,0.0011160017133891031
1000,loglinear,True,6.120654113455842,0.0,0.0011160017133891031,0.0011160017133891031
