T,D,K,B,sigma,S0,r,q,Vanilla,LAT_OUT,LAT_IN,LAT_time_s,LAT_STEPS,MC_OUT,SE_OUT,MC_IN,MC_time_s,ParityErr_LAT,ParityErr_MC,BoundsOK,MC_OccTimeMean,MC_OccTimeStd,MC_OccTimeP50,MC_HitRate,MC_STEPS,MC_PATHS
0.08333333333333333,0.004166666666666667,5363.33,4826.997,0.1,5363.33,0.03,0.02597332698212359,62.522528972100645,62.49685734340574,0.02567162869490147,1.991784459009068,600,62.514648032309765,0.004351365305787032,0.007880939790879893,0.8798311249993276,0.0,0.0,True,0.0010127333333333334,0.0050189729469074474,0.0,0.05166,500,50000
0.08333333333333333,0.004166666666666667,5363.33,5095.1635,0.1,5363.33,0.03,0.02597332698212359,62.522528972100645,62.495674507795734,0.02685446430491112,2.0502462909789756,600,60.74033175495786,0.09340354658831387,1.7821972171427873,0.9191529160016216,0.0,0.0,True,0.008504186666666668,0.016270757357925904,0.0,0.29412,500,50000
0.16666666666666666,0.008333333333333333,5363.33,4826.997,0.1,5363.33,0.03,0.017438880110360967,92.70690592610163,92.670615448138,0.036290477963632384,1.9841589170100633,600,92.31996202527387,0.048638515576023035,0.38694390082775953,0.992635667003924,0.0,0.0,True,0.007740146666666666,0.021221154505556054,0.0,0.16084,500,50000
0.16666666666666666,0.008333333333333333,5363.33,5095.1635,0.1,5363.33,0.03,0.017438880110360967,92.70690592610163,92.550153483465,0.15675244263663046,1.8483101669989992,600,83.45502982016144,0.29032758419962373,9.251876105940184,0.9208349160035141,0.0,0.0,True,0.028890646666666665,0.042101941390788884,0.0016666666666666666,0.43592,500,50000
0.08333333333333333,0.004166666666666667,5363.33,4826.997,0.15,5363.33,0.03,0.02597332698212359,93.3274363231526,93.28892993823597,0.038506384916630054,1.8548586669785436,600,93.31959037754778,0.004351365305787032,0.007845945604813664,0.8429315829998814,0.0,0.0,True,0.0010127333333333334,0.0050189729469074474,0.0,0.05166,500,50000
0.08333333333333333,0.004166666666666667,5363.33,5095.1635,0.15,5363.33,0.03,0.02597332698212359,93.3274363231526,93.12272590587901,0.20471041727358852,1.8472031659912318,600,91.39330575525867,0.09340354658831387,1.9341305678939307,0.9099904579925351,0.0,0.0,True,0.008504186666666668,0.016270757357925904,0.0,0.29412,500,50000
0.16666666666666666,0.008333333333333333,5363.33,4826.997,0.15,5363.33,0.03,0.017438880110360967,136.1577436234693,136.09970794533206,0.05803567813723021,1.8572050420043524,600,135.74816272486655,0.048638515576023035,0.4095808986027407,0.8812244159926195,0.0,0.0,True,0.007740146666666666,0.021221154505556054,0.0,0.16084,500,50000
0.16666666666666666,0.008333333333333333,5363.33,5095.1635,0.15,5363.33,0.03,0.017438880110360967,136.1577436234693,133.7632926984387,2.3944509250305828,1.8489628749957774,600,125.61592048561508,0.29032758419962373,10.541823137854209,0.9164451670076232,0.0,0.0,True,0.028890646666666665,0.042101941390788884,0.0016666666666666666,0.43592,500,50000
0.08333333333333333,0.004166666666666667,5363.33,4826.997,0.2,5363.33,0.03,0.02597332698212359,124.12822442175411,124.07526342578653,0.05296099596758097,1.8380213339987677,600,124.12041346565587,0.004351365305787032,0.007810956098239785,0.8430739580071531,0.0,0.0,True,0.0010127333333333334,0.0050189729469074474,0.0,0.05166,500,50000
0.08333333333333333,0.004166666666666667,5363.33,5095.1635,0.2,5363.33,0.03,0.02597332698212359,124.12822442175411,122.35294171730459,1.7752827044495234,1.8483057499979623,600,122.04218081973652,0.09340354658831387,2.0860436020175968,0.89230450001196,0.0,0.0,True,0.008504186666666668,0.016270757357925904,0.0,0.29412,500,50000
0.16666666666666666,0.008333333333333333,5363.33,4826.997,0.2,5363.33,0.03,0.017438880110360967,179.61404666052204,179.3636872126316,0.25035944789044606,1.8487300839915406,600,179.18182591681412,0.048638515576023035,0.43222074370791574,0.867448708973825,0.0,0.0,True,0.007740146666666666,0.021221154505556054,0.0,0.16084,500,50000
0.16666666666666666,0.008333333333333333,5363.33,5095.1635,0.2,5363.33,0.03,0.017438880110360967,179.61404666052204,170.5237249169574,9.09032174356463,1.838911958009703,600,167.78211423844564,0.29032758419962373,11.831932422076392,0.9224542080191895,0.0,0.0,True,0.028890646666666665,0.042101941390788884,0.0016666666666666666,0.43592,500,50000
